brand,name,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,os_bit,graphic_card_gb,weight,display_size,warranty (year),Touchscreen,msoffice,lowest_price,highest_price,discount,star_rating,ratings,reviews
Avita,Cosmos,Intel,Celeron Dual,Missing,4 GB,DDR4,0 GB,512 GB,Windows,64-bit,0,Casual,13,0,No,No,Rp1.749.000,Rp2.349.000,25,3.6,1120,196
Lenovo,Ideapad,AMD,APU Dual,10th,4 GB,DDR4,0 GB,512 GB,Windows,64-bit,0,Casual,13,0,No,No,Rp1.959.000,Rp2.132.500,8,3.6,1894,256
Avita,PURA,AMD,APU Dual,10th,4 GB,DDR4,128 GB,0 GB,Windows,64-bit,0,ThinNlight,14,0,No,No,Rp1.999.000,Rp2.799.000,28,3.7,1153,159
HP,APU,AMD,APU Dual,10th,4 GB,DDR4,0 GB,1024 GB,Windows,32-bit,0,Casual,15.6,0,No,No,Rp2.090.000,Rp2.282.500,8,3.9,1185,141
Avita,PURA,AMD,APU Dual,10th,4 GB,DDR4,128 GB,0 GB,Windows,64-bit,0,ThinNlight,13,0,No,No,Rp2.149.000,Rp2.799.000,23,3.7,1153,159
Lenovo,APU,AMD,APU Dual,10th,4 GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,Casual,13,0,No,No,Rp2.189.600,Rp2.589.600,0,3.9,219,18
ASUS,EeeBook,Intel,Celeron Dual,Missing,4 GB,DDR4,0 GB,512 GB,Windows,32-bit,0,Casual,14,0,No,No,Rp2.199.000,Rp2.599.000,15,3.5,31,3
ASUS,EeeBook,Intel,Celeron Dual,Missing,4 GB,DDR4,0 GB,512 GB,Windows,64-bit,0,Casual,15.6,0,No,No,Rp2.299.000,Rp2.799.000,17,0,0,0
ASUS,Celeron,Intel,Celeron Dual,Missing,4 GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,Casual,15.6,1,No,No,Rp2.399.000,Rp2.699.000,11,3.8,15279,1947
Lenovo,A6-9225,AMD,A6-9225 Processor,10th,4 GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,ThinNlight,13,0,No,No,Rp2.499.000,Rp3.279.000,23,3.7,63,12
Avita,PURA,AMD,APU Dual,10th,4 GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,14,0,No,No,Rp2.499.000,Rp3.349.000,25,3.7,1657,234
Avita,PURA,AMD,APU Dual,10th,8 GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,13,0,No,No,Rp2.499.000,Rp3.349.000,25,3.7,1657,234
HP,Athlon,AMD,Athlon Dual,10th,32 GB,DDR4,32 GB,0 GB,Windows,32-bit,4,Casual,15.6,0,No,No,Rp2.689.900,Rp2.766.800,2,0,0,0
ASUS,VivoBook,Intel,Celeron Dual,Missing,4 GB,DDR4,0 GB,512 GB,Windows,64-bit,0,Casual,13,0,No,No,Rp2.699.000,Rp2.899.000,6,0,0,0
ASUS,VivoBook,Intel,Celeron Dual,Missing,4 GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,14,0,No,No,Rp2.989.000,Rp3.399.000,12,4,7,0
Lenovo,IdeaPad,Intel,Celeron Dual,Missing,4 GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,14,0,No,No,Rp3.179.900,Rp3.699.900,14,0,0,0
acer,Aspire,AMD,Athlon Dual,10th,4 GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,13,1,No,No,Rp3.199.000,Rp3.699.000,13,4.2,76,13
Lenovo,IdeaPad,Intel,Celeron Dual,Missing,4 GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,13,0,No,No,Rp3.199.900,Rp3.899.900,17,4,286,19
HP,Celeron,Intel,Celeron Dual,Missing,8 GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,14,0,No,No,Rp3.249.000,Rp3.928.800,17,4,58,6
HP,15q,Intel,Core i3,7th,4 GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,Casual,15.6,0,No,No,Rp3.295.500,Rp4.295.500,0,4.2,311,27
ASUS,VivoBook,Intel,Core i3,10th,8 GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,15.6,0,No,No,Rp3.398.000,Rp4.699.000,27,4.4,67,3
ASUS,Missing,Intel,Core i3,11th,4 GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,15.6,0,No,No,Rp3.442.900,Rp4.999.000,31,4.1,37,6
ASUS,ExpertBook,Intel,Core i3,10th,4 GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,Casual,14,0,No,No,Rp3.464.900,Rp4.199.000,17,2.3,3,0
ASUS,ExpertBook,Intel,Core i3,11th,4 GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,14,0,No,No,Rp3.599.000,Rp4.299.000,16,0,0,0
ASUS,VivoBook,Intel,Core i3,11th,4 GB,DDR4,256 GB,0 GB,Windows,32-bit,0,Casual,15.6,1,No,Yes,Rp3.599.000,Rp4.999.000,28,4.3,1479,181
ASUS,VivoBook,Intel,Core i3,11th,8 GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,13,1,No,Yes,Rp3.789.000,Rp5.199.000,27,4.6,44,5
Lenovo,IdeaPad,Intel,Core i3,10th,8 GB,DDR4,256 GB,0 GB,Windows,32-bit,0,ThinNlight,15.6,2,No,Yes,Rp3.799.000,Rp5.799.000,34,4.3,2080,235
ASUS,Missing,Intel,Core i3,11th,8 GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,14,1,No,No,Rp3.799.000,Rp5.299.000,28,4.3,284,39
Lenovo,IdeaPad,Intel,Core i3,10th,8 GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,15.6,0,No,No,Rp3.799.000,Rp5.799.000,34,4.2,286,36
RedmiBook,15,Intel,Core i3,11th,8 GB,DDR4,256 GB,0 GB,Windows,32-bit,0,ThinNlight,15.6,1,No,No,Rp3.899.000,Rp5.199.900,25,4.3,1063,152
acer,Aspire,Intel,Core i3,11th,8 GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,15.6,1,No,No,Rp3.899.000,Rp5.299.900,26,0,0,0
Lenovo,IdeaPad,Intel,Core i3,11th,8 GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,13,1,No,No,Rp3.899.000,Rp6.089.000,35,4.2,33,4
Lenovo,Missing,Intel,Core i3,10th,4 GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,Casual,15.6,0,No,No,Rp3.899.900,Rp4.270.500,8,3.8,65,5
DELL,Vostro,Intel,Core i3,10th,8 GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,13,1,No,Yes,Rp3.949.000,Rp4.331.200,8,4.3,1267,171
HP,Missing,Intel,Core i3,11th,8 GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,13,1,No,Yes,Rp3.999.000,Rp5.008.500,20,4.2,273,30
Lenovo,v15,Intel,Core i3,10th,4 GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,Casual,15.6,0,No,No,Rp3.999.900,Rp4.399.900,9,3.1,8,1
DELL,Vostro,Intel,Core i3,11th,8 GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,15.6,1,No,Yes,Rp4.199.000,Rp5.451.000,22,3.6,10,5
HP,250-G6,Intel,Core i5,7th,4 GB,DDR4,0 GB,1024 GB,Windows,32-bit,2,Casual,14,0,No,No,Rp4.620.000,Rp5.620.000,0,4.2,47,7
realme,Book,Intel,Core i3,11th,8 GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,13,1,No,Yes,Rp4.699.000,Rp5.499.900,14,4.4,6352,1014
Lenovo,Missing,Intel,Core i5,10th,4 GB,DDR4,0 GB,1024 GB,Windows,32-bit,0,Casual,13,0,No,No,Rp4.999.900,Rp5.900.000,15,0,0,0
HP,Pavilion,Intel,Core i3,11th,8 GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,13,1,Yes,Yes,Rp5.399.000,Rp6.351.000,14,4.6,14,0
acer,Aspire,AMD,Ryzen,10th,4 GB,DDR4,0 GB,512 GB,Windows,32-bit,4,Casual,13,0,No,No,Rp5.499.000,Rp8.900.000,38,4.5,3190,414
HP,x360,Intel,Core i3,11th,8 GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,15.6,1,Yes,No,Rp5.649.000,Rp6.492.300,12,0,0,0
ASUS,ExpertBook,Intel,Core i5,10th,8 GB,DDR4,0 GB,1024 GB,Windows,32-bit,2,Casual,15.6,0,No,No,Rp5.879.900,Rp7.799.000,24,0,0,0
acer,Nitro,AMD,Ryzen 5,10th,4 GB,DDR4,0 GB,512 GB,Windows,32-bit,4,Casual,13,0,No,No,Rp5.999.000,Rp9.999.900,40,4.5,1946,240
HP,x360,Intel,Core i5,11th,8 GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,14,1,No,No,Rp6.539.000,Rp7.643.600,14,0,0,0
ASUS,ExpertBook,Intel,Core i5,10th,8 GB,DDR4,512 GB,0 GB,Windows,32-bit,2,Casual,14,0,No,No,Rp6.999.000,Rp7.499.000,0,0,0,0
acer,Nitro,AMD,Ryzen 5,10th,4 GB,DDR4,0 GB,512 GB,Windows,32-bit,4,Casual,13,0,No,No,Rp7.299.000,Rp9.999.900,27,4.5,425,67
acer,Nitro,AMD,Ryzen 5,10th,4 GB,DDR4,0 GB,512 GB,Windows,32-bit,6,Casual,15.6,0,No,No,Rp9.370.000,Rp13.900.000,32,4.5,259,47